content,date,like,place,tags
돌하루방도 마스크 😷#휴애리#휴애리자연생활공원#휴애리수국축제#제주도관광지#제주도관광#제주도여행#제주도#제주#제주여행#제주가볼만한곳#제주스냅#제주스냅촬영#힐링여행#여행그램.. #좋아요#좋아요테러#좋아요그램#일상그램#일상기록#데일리#데일리그램#데일리음식#데일리커피#행복한일상#소소한행복#소확행#사색즐기기 #소통해요💕#소통소통#소통해요♥,"['#휴애리', '#휴애리자연생활공원', '#휴애리수국축제', '#제주도관광지', '#제주도관광', '#제주도여행', '#제주도', '#제주', '#제주여행', '#제주가볼만한곳', '#제주스냅', '#제주스냅촬영', '#힐링여행', '#여행그램..', '#좋아요', '#좋아요테러', '#좋아요그램', '#일상그램', '#일상기록', '#데일리', '#데일리그램', '#데일리음식', '#데일리커피', '#행복한일상', '#소소한행복', '#소확행', '#사색즐기기', '#소통해요💕', '#소통소통', '#소통해요♥']",2021-05-01,0,휴애리 자연생활공원
"*비자림로 / 거리,골목 팔하나 잘려나간듯한 비자림로.. 볼때마다 속상 주소 : 제주시 구좌읍 송당리 2341-1#비자림로 #제주관광 #제주도관광 #제주가볼만한곳 #제주도가볼만한곳 #제주그램 #제주도그램 #제주여행 #제주도여행 #제주앓이 #제주살이 #제주일상 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #제미녀_제주시 #구좌읍 #송당리 #제미녀 #제주도에미친녀자","['#비자림로', '#제주관광', '#제주도관광', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주그램', '#제주도그램', '#제주여행', '#제주도여행', '#제주앓이', '#제주살이', '#제주일상', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#제미녀_제주시', '#구좌읍', '#송당리', '#제미녀', '#제주도에미친녀자']",2021-05-20,0,
"*청초밭 / 유기농산물주변이 오름과 산으로 병풍처럼 둘러싸인 천혜의 자연환경을 간직한 유기농 농장 청초밭은 자연순환농법만을 고집하고 농약이나 화학비료를 전혀 쓰지 않으며, 자연과 더불어 깨끗한 환경 속에서 생산되는 안전한 먹거리를 제공하기 위하여 최선을 다하는 친환경 농장 주소 : 서귀포시 표선면 성읍이리로57번길 34(성읍리 2497)시간 : 매일 10:00 - 18:00(입장마감 17시) #청초밭 #동백 #동백꽃 #제주동백 #제주자연명소 #제주도자연명소 #제주관광 #제주도관광 #제주가볼만한곳 #제주도가볼만한곳 #제주사진찍기좋은곳 #제주그램 #제주도그램 #제주여행 #제주도여행 #제주앓이 #제주살이 #제주일상 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #제미녀_서귀포시 #성원읍 #성읍리 #제미녀 #제주도에미친녀자","['#청초밭', '#동백', '#동백꽃', '#제주동백', '#제주자연명소', '#제주도자연명소', '#제주관광', '#제주도관광', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주사진찍기좋은곳', '#제주그램', '#제주도그램', '#제주여행', '#제주도여행', '#제주앓이', '#제주살이', '#제주일상', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#제미녀_서귀포시', '#성원읍', '#성읍리', '#제미녀', '#제주도에미친녀자']",2020-12-03,0,청초밭영농조합법인
..화이자 독하네.6개월 늦은 사진..여기도 제주다.#제주도사진찍기좋은곳 #제주도풍경 #제주도여행 #제주도카페 #제주도숙소 #제주도맛집 #제주도사진 #제주도모델 #제주도스냅 #제주도산책 #제주도관광 #제주도핫플 #제주도웨딩 #제주도가볼만한곳 #제주도도민맛집 #한라산 #제주도웨딩스냅 #제주도사진명소 #제주도 #jeju #일출 #일몰 #제주도여행코스 #제주도숨은맛집 #유채꽃 #수국 #산책,"['#제주도사진찍기좋은곳', '#제주도풍경', '#제주도여행', '#제주도카페', '#제주도숙소', '#제주도맛집', '#제주도사진', '#제주도모델', '#제주도스냅', '#제주도산책', '#제주도관광', '#제주도핫플', '#제주도웨딩', '#제주도가볼만한곳', '#제주도도민맛집', '#한라산', '#제주도웨딩스냅', '#제주도사진명소', '#제주도', '#jeju', '#일출', '#일몰', '#제주도여행코스', '#제주도숨은맛집', '#유채꽃', '#수국', '#산책']",2021-08-17,0,
"*산방산 / 산,고개남서쪽 기슭, 해발고도 200m 지점에 산방굴이라는 자연 석굴이 있고, 그 안에 불상을 안치하여 이 굴을 산방굴사라고도 함. 산의 남쪽 해안에는 용머리해안과 하멜 표류 기념탑, 산방연대와 연디동산 전망대 등이 있어 다양하게 둘러볼 수 있음 주소 : 서귀포 안덕면 사계리 산 16 #산방산 #산방굴사 #용머리해안 #제주명소 #제주도명소 #제주관광 #제주도관광 #제주가볼만한곳 #제주도가볼만한곳 #제주그램 #제주도그램 #제주여행 #제주여행코스 #제주도여행 #제주앓이 #제주살이 #제주일상 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #제미녀_서귀포시 #안덕면 #사계리 #제미녀 #제주도에미친녀자","['#산방산', '#산방굴사', '#용머리해안', '#제주명소', '#제주도명소', '#제주관광', '#제주도관광', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주그램', '#제주도그램', '#제주여행', '#제주여행코스', '#제주도여행', '#제주앓이', '#제주살이', '#제주일상', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#제미녀_서귀포시', '#안덕면', '#사계리', '#제미녀', '#제주도에미친녀자']",2020-12-19,0,제주도 산방산
"*이호테우말등대 / 자연명소제주의 조랑말을 형상화하여 만든 등대로, 빨간말과 하얀말 두마리가 각각 이호항의 안쪽 방파제와 바깥 방파제에 한마리씩 자리를 잡고 있음' 이 등대는 푸른 바다 배경과 잘 어울려 많은 사람들이 제주의 풍경과 추억사진을 찍기 좋은 곳으로 즐겨찾고 있으며, 꽤나 먼곳에서도 보이는 이 두 말 등대는 이호태우해변의 랜드마크로 자리잡음주소 : 제주시 이호일동 375-43#목마등대 #이호테우해수욕장 #이호해변 #제주바다 #제주도바다 #제주자연명소 #제주도자연명소 #제주관광 #제주도관광 #제주가볼만한곳 #제주도가볼만한곳 #제주사진찍기좋은곳 #제주그램 #제주도그램 #제주여행 #제주도여행 #제주앓이 #제주살이 #제주일상 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #제미녀_제주시 #이호일동 #제미녀 #제주도에미친녀자","['#목마등대', '#이호테우해수욕장', '#이호해변', '#제주바다', '#제주도바다', '#제주자연명소', '#제주도자연명소', '#제주관광', '#제주도관광', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주사진찍기좋은곳', '#제주그램', '#제주도그램', '#제주여행', '#제주도여행', '#제주앓이', '#제주살이', '#제주일상', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#제미녀_제주시', '#이호일동', '#제미녀', '#제주도에미친녀자']",2020-10-15,0,이호테우 목마등대
"*알뜨르비행장 / 문화재이 작품은 ""최평곤""작가의 ""파랑새""라는 작품으로 동학 농민군들이 사용했던 죽창에서 영감을 얻어 대나무를 엮어서 만들었으며, 크기는 9m에 달함. 이 소녀와 파랑새는 알뜨르비행장의 풍경, 바람과 조우하여 평화의 메세지를 전달함주소 : 서귀포시 대정읍 상모리 1832 #알뜨르비행장소녀상 #알뜨르비행장 #파랑새 #다크투어리즘 #제주명소 #제주도명소 #제주관광 #제주도관광 #제주가볼만한곳 #제주도가볼만한곳 #제주그램 #제주도그램 #제주여행 #제주여행코스 #제주도여행 #제주앓이 #제주살이 #제주일상 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #제미녀_서귀포시 #대정읍 #상모리 #제미녀 #제주도에미친녀자","['#알뜨르비행장소녀상', '#알뜨르비행장', '#파랑새', '#다크투어리즘', '#제주명소', '#제주도명소', '#제주관광', '#제주도관광', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주그램', '#제주도그램', '#제주여행', '#제주여행코스', '#제주도여행', '#제주앓이', '#제주살이', '#제주일상', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#제미녀_서귀포시', '#대정읍', '#상모리', '#제미녀', '#제주도에미친녀자']",2021-01-18,0,알뜨르비행장 및 일본군 비행기 격납고
"*카멜리아힐 / 식물원,수목원​동양에서 가장 큰 동백 수목원으로 6만여 평의 부지에는 가을부터 봄까지 시기를 달리해서 피는 80개국의 동백나무 500여 품종 6000여 그루가 울창한 숲을 이루고 있어요. 이 곳에 모든 꽃과 나무는 가드너의 손을 거쳐 자라난다고 합니다. 지금은 수국으로 가득 채워져있으니 꼭 들려보세요요금 : 성인-8.0, 청소년-6.0, 어린이-5.0주소 : 서귀포시 안덕면 병악로 166(상창리 271)시간 : 매일 08:30 - 19:00 (6~8월)매일 08:30 - 18:30 (3~5,9~11월)매일 08:30 - 18:00 (12~2월)*애견 8kg미만까지 입장가능 @camelliahilljeju#카멜리아힐 #제주동백 #제주수국 #제주도수국 #제주관광 #제주도관광 #제주가볼만한곳 #제주도가볼만한곳 #제주그램 #제주도그램 #제주여행 #제주도여행 #제주앓이 #제주살이 #제주일상 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #서귀포시 #제미녀_서귀포시 #안덕면 #상창리 #제미녀 #제주도에미친녀자 #일상 #소통","['#카멜리아힐', '#제주동백', '#제주수국', '#제주도수국', '#제주관광', '#제주도관광', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주그램', '#제주도그램', '#제주여행', '#제주도여행', '#제주앓이', '#제주살이', '#제주일상', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#서귀포시', '#제미녀_서귀포시', '#안덕면', '#상창리', '#제미녀', '#제주도에미친녀자', '#일상', '#소통']",2021-06-03,0,카멜리아 힐
#사진한잔의여유⠀올해여름성세기해변에서 ⠀⠀,['#사진한잔의여유⠀올해여름성세기해변에서'],2021-08-19,0,김녕 성세기 해변
처서가 임박했습니다올 여름 마지막 콩국수가 아닐까요,[],2021-08-19,0,할망곰탕
"제주도 코로나19 4단계 집합금지 관련사항 안내드립니다.* 기간 : 별도공지시까지* 18시 이전 5인이상 탑승불가 (인수,반납불가)* 18시 이후 3인이상 탑승불가 (인수,반납불가)* 직계가족, 백신접종자, 영유아도 인원에 예외없음단. 등본상 거주공간이 동일한 가족구성원인경우는 인원제한 없습니다.(등본지참필수)사진자료 : #제주공항렌트카#제주도렌트카 #제주렌트카 #제주도여행 #제주여행#제주도렌터카 #제주렌터카 #제주도관광 #제주관광#코로나4단계 #제주도코로나 #제주코로나","['#제주공항렌트카', '#제주도렌트카', '#제주렌트카', '#제주도여행', '#제주여행', '#제주도렌터카', '#제주렌터카', '#제주도관광', '#제주관광', '#코로나4단계', '#제주도코로나', '#제주코로나']",2021-08-19,0,
선셋 환상적🌄⠀📷 by.kanna._⠀,[],2021-08-19,0,서귀포 법환포구
제주 거리두기 4단계 격상 안내⠀8월 18일부터 사회적 거리 두기 4단계가시행되었습니다.⠀사적 모임 6시 이후 2명 제한다중이용시설 밤 10시 이후 운영 제한⠀자세한 사항은 4단계 개편안을 참고하세요.⠀,[],2021-08-19,0,서귀포 법환포구
미친듯이 아름다웠던 사계 바다⠀내 최애 바다가 바뀐 날💕⠀📷 JINIQUEhttps://blog.naver.com/songk4637/222277208264⠀,[],2021-08-19,0,제주 사계해변
제주 거리두기 4단계 격상 안내⠀8월 18일부터 사회적 거리 두기 4단계가시행되었습니다.⠀사적 모임 6시 이후 2명 제한다중이용시설 밤 10시 이후 운영 제한⠀자세한 사항은 4단계 개편안을 참고하세요.⠀,[],2021-08-19,0,제주 사계해변
주변 풍경이 정말 아름다운 제주 하도리⠀하도 바다에서는 우도와 지미봉이 보여요🤭⠀📷 도도https://blog.naver.com/ontheroad_gh/222443485225⠀,[],2021-08-19,0,하도어촌계
제주 거리두기 4단계 격상 안내⠀8월 18일부터 사회적 거리 두기 4단계가시행되었습니다.⠀사적 모임 6시 이후 2명 제한다중이용시설 밤 10시 이후 운영 제한⠀자세한 사항은 4단계 개편안을 참고하세요.⠀,[],2021-08-19,0,하도어촌계
#아녜스의앞치마.와!날씨좋다 하면서 사진찍는데 갑자기 천둥번개 비가후두둑!!!요즘날씨 가늠할수가 없네요ㅎㅎ목요일 아녜스의 앞치마 활짝 열었습니다~~^^오늘은 6시까지 열어둘께요❤.📌주차는 가게 정면에 오른쪽 주차칸에 주차하시고만차시 바다방향으로 약50미터 정도 내려가시면주차 하실 수 있습니다🤗.📌버스 탑승시 201번 버스 탑승하시고 금산목 정류장에서 내려 바다 방향으로 3-5분정도내려오시면 됩니다 🤗...#제주#제주도#9월제주도가볼만한곳#8월제주도가볼만한곳#제주도관광#제주도가볼만한곳#제주도관광지#제주동쪽가볼만한곳#제주도갈만한곳#제주동부가볼만한곳#제주카페#제주도카페#제주여행추천#구좌읍카페#JEJU#행원리카페#제주구좌가볼만한곳#제주도꼭가봐야할곳#제주핫플레이스#제주도코스#뷰좋은카페#제주여행#제주도맛집추천#월정리카페#제주도예쁜카페#월정리맛집#제주도핫플레이스#제주도까페#제주뚜벅이여행,"['#아녜스의앞치마.와!날씨좋다', '#제주', '#제주도', '#9월제주도가볼만한곳', '#8월제주도가볼만한곳', '#제주도관광', '#제주도가볼만한곳', '#제주도관광지', '#제주동쪽가볼만한곳', '#제주도갈만한곳', '#제주동부가볼만한곳', '#제주카페', '#제주도카페', '#제주여행추천', '#구좌읍카페', '#JEJU', '#행원리카페', '#제주구좌가볼만한곳', '#제주도꼭가봐야할곳', '#제주핫플레이스', '#제주도코스', '#뷰좋은카페', '#제주여행', '#제주도맛집추천', '#월정리카페', '#제주도예쁜카페', '#월정리맛집', '#제주도핫플레이스', '#제주도까페', '#제주뚜벅이여행']",2021-08-19,0,아녜스의앞치마
..한의원을 가야하나 정형외과를 가까나~.6개월 늦은 사진..여기도 제주다.#제주도사진찍기좋은곳 #제주도풍경 #제주도여행 #제주도카페 #제주도숙소 #제주도맛집 #제주도사진 #제주도모델 #제주도스냅 #제주도산책 #제주도관광 #제주도핫플 #제주도웨딩 #제주도가볼만한곳 #제주도도민맛집 #한라산 #제주도웨딩스냅 #제주도사진명소 #제주도 #jeju #일출 #일몰 #제주도여행코스 #제주도숨은맛집 #유채꽃 #수국 #산책,"['#제주도사진찍기좋은곳', '#제주도풍경', '#제주도여행', '#제주도카페', '#제주도숙소', '#제주도맛집', '#제주도사진', '#제주도모델', '#제주도스냅', '#제주도산책', '#제주도관광', '#제주도핫플', '#제주도웨딩', '#제주도가볼만한곳', '#제주도도민맛집', '#한라산', '#제주도웨딩스냅', '#제주도사진명소', '#제주도', '#jeju', '#일출', '#일몰', '#제주도여행코스', '#제주도숨은맛집', '#유채꽃', '#수국', '#산책']",2021-08-19,0,
"⠀어서오세요 제주도에🌴⠀지역 특산품/명소를 소개하는여행 가이드북에 제격인 «모양 리플렛»차별화된 유니크한 디자인으로확실한 홍보 효과를 누려보세요!⠀여행지, 신제품, 가게홍보, 메뉴판 등다양한 곳에 활용할 수 있어요❤︎ ⠀",[],2021-08-19,0,아이앤피
제주 인생밥집⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕚 OPEN - 11:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕕 CLOSED - 17:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀브레이크타임 없어요.예약은 받지 않고 오시는 순서대로 식사가능 하세요.싱싱한 해물과 신선한 야채로 그날 준비한 재료가 소진되면 조기마감 합니다. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🥣전복해물볶음밥 / 전복물회 / 전복딱새우장 정식⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀사는게니나노 ~ ♬인생밥집010-6501-5073주소는 제주시 한림읍 문교길6 ..⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🅿️ 무료 공영 주차장 위치!! .⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🚗 제주시 한림읍 한림리 1197-4🚘 제주시 한림읍 한림리 1198-3🚙 제주시 한림읍 한림리 943-9.걸어서 2분이내 거리에요~♡♡#제주금능해수욕장 #제주도 #제주도관광 #제주서귀포가볼만한곳 #제주도가볼만한곳 #제주날씨 #제주도날씨 #제주도펜션 #제주공항 #제주비행기 #제주도비행기 #제주맛집 #제주도맛집 #제주애월맛집 #강릉 #제주협재맛집 #제주한림맛집 #제주도애월맛집 #제주도성산맛집 #제주도협재맛집 #제주도한림맛집 #새별오름 #금오름 #비행기샷 #주변맛집 #내주변맛집 #오설록 #도두봉 #제주도해수욕장 #성산맛집,"['#제주금능해수욕장', '#제주도', '#제주도관광', '#제주서귀포가볼만한곳', '#제주도가볼만한곳', '#제주날씨', '#제주도날씨', '#제주도펜션', '#제주공항', '#제주비행기', '#제주도비행기', '#제주맛집', '#제주도맛집', '#제주애월맛집', '#강릉', '#제주협재맛집', '#제주한림맛집', '#제주도애월맛집', '#제주도성산맛집', '#제주도협재맛집', '#제주도한림맛집', '#새별오름', '#금오름', '#비행기샷', '#주변맛집', '#내주변맛집', '#오설록', '#도두봉', '#제주도해수욕장', '#성산맛집']",2021-08-18,0,
제주 인생밥집⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕚 OPEN - 11:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕕 CLOSED - 17:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀브레이크타임 없어요.예약은 받지 않고 오시는 순서대로 식사가능 하세요.싱싱한 해물과 신선한 야채로 그날 준비한 재료가 소진되면 조기마감 합니다. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🥣전복해물볶음밥 / 전복물회 / 전복딱새우장 정식⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀사는게니나노 ~ ♬인생밥집010-6501-5073주소는 제주시 한림읍 문교길6 ..⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🅿️ 무료 공영 주차장 위치!! .⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🚗 제주시 한림읍 한림리 1197-4🚘 제주시 한림읍 한림리 1198-3🚙 제주시 한림읍 한림리 943-9.걸어서 2분이내 거리에요~♡♡#제주 #제주도 #제주도관광 #제주서귀포가볼만한곳 #제주도가볼만한곳 #제주날씨 #제주도날씨 #제주도펜션 #제주공항 #제주비행기 #제주도비행기 #제주맛집 #제주도맛집 #제주애월맛집 #청주 #제주협재맛집 #제주한림맛집 #제주도애월맛집 #제주도성산맛집 #제주도협재맛집 #제주도한림맛집 #새별오름 #금오름 #비행기샷 #주변맛집 #내주변맛집 #오설록 #도두봉 #함덕맛집 #성산맛집,"['#제주', '#제주도', '#제주도관광', '#제주서귀포가볼만한곳', '#제주도가볼만한곳', '#제주날씨', '#제주도날씨', '#제주도펜션', '#제주공항', '#제주비행기', '#제주도비행기', '#제주맛집', '#제주도맛집', '#제주애월맛집', '#청주', '#제주협재맛집', '#제주한림맛집', '#제주도애월맛집', '#제주도성산맛집', '#제주도협재맛집', '#제주도한림맛집', '#새별오름', '#금오름', '#비행기샷', '#주변맛집', '#내주변맛집', '#오설록', '#도두봉', '#함덕맛집', '#성산맛집']",2021-08-18,,
제주 인생밥집⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕚 OPEN - 11:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕕 CLOSED - 17:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀브레이크타임 없어요.예약은 받지 않고 오시는 순서대로 식사가능 하세요.싱싱한 해물과 신선한 야채로 그날 준비한 재료가 소진되면 조기마감 합니다. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🥣전복해물볶음밥 / 전복물회 / 전복딱새우장 정식⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀사는게니나노 ~ ♬인생밥집010-6501-5073주소는 제주시 한림읍 문교길6 ..⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🅿️ 무료 공영 주차장 위치!! .⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🚗 제주시 한림읍 한림리 1197-4🚘 제주시 한림읍 한림리 1198-3🚙 제주시 한림읍 한림리 943-9.걸어서 2분이내 거리에요~♡♡#제주 #제주도 #제주도관광 #제주서귀포가볼만한곳 #제주도가볼만한곳 #제주날씨 #제주도날씨 #제주도펜션 #제주공항 #제주비행기 #제주도비행기 #제주맛집 #제주도맛집 #제주애월맛집 #광주 #제주협재맛집 #제주한림맛집 #제주도애월맛집 #제주도성산맛집 #제주도협재맛집 #제주도한림맛집 #새별오름 #금오름 #비행기샷 #주변맛집 #내주변맛집 #오설록 #도두봉 #함덕맛집 #성산맛집,"['#제주', '#제주도', '#제주도관광', '#제주서귀포가볼만한곳', '#제주도가볼만한곳', '#제주날씨', '#제주도날씨', '#제주도펜션', '#제주공항', '#제주비행기', '#제주도비행기', '#제주맛집', '#제주도맛집', '#제주애월맛집', '#광주', '#제주협재맛집', '#제주한림맛집', '#제주도애월맛집', '#제주도성산맛집', '#제주도협재맛집', '#제주도한림맛집', '#새별오름', '#금오름', '#비행기샷', '#주변맛집', '#내주변맛집', '#오설록', '#도두봉', '#함덕맛집', '#성산맛집']",2021-08-18,0,
