,title,date,content
0,넷플릭스 미드 추천,2021.06.02.,추천 ☺️ 이 외에도 <김씨네 편의점> <루시퍼> <블랙미러> 등등 추천드릴만한 작품이 많긴 한데 일단 이 정도 추천드려봐요 ㅎㅎ 다음에 시간 날 때 추가 포스팅 하겠습니다. 즐넷플릭스 하세요 ! +) 넷플릭스 추천 포스팅...
1,"넷플릭스 드라마 영화 추천 - 검블유, 클래식 외 8편",2021.07.25.,"넷플릭스 영화 추천 - 영화 클래식 그간 지속적으로 넷플릭스 추천 포스팅을 썼는데 그간 이 영화를 추천했었던가? 아니면 넷플에 늦게 들어온 건가 ㅋㅋㅋ 한국 영화 중, 인생영화라 꼽는 영화가 정말 몇 안 되는데 이..."
2,넷플릭스 드라마 추천 8편! 시간 순삭!,2021.05.16.,"그래서 넷플릭스 드라마 추천10편 가지고 왔습니다! 취향 비슷하신 분들이 많길 바라며! 스타트 참고: 스릴러 공포 추격전 이런거 못봄..^^ 1. 눈이 부시게 출연: 김혜자, 한지민, 남주혁, 손호준, 안내상, 이정은 등 2019년..."
3,넷플릭스 드라마 추천! 안 보면 후회할 한국 드라마 BEST 10,2021.08.12.,"액션·로맨스·시대물 다~ 있다넷플릭스 한국 드라마 추천 10   미생 출처 - tvN '미생' 대표이미지 미생 연출 김원석 출연 이성민, 강소라, 임시완, 강하늘, 변요한, 김대명, 신은정, 태인호, 류태호, 조현식, 남경읍..."
4,아직도 못 봤다고? 넷플릭스 영국 드라마 추천작 Top 5,2021.04.01.,"넷플릭스 영국 드라마 / 넷플릭스 영드 추천1. 오티스의 비밀 상담소 넷플릭스 영국 드라마 중 가장 인기있는 드라마!2019년 1월 넷플릭스에 공개된 이후약 한 달간 4000만명이 시청한 드라마입니다하이틴 드라마로, 소심한..."
5,"넷플릭스 한국 드라마 17편 추천 (줄거리x, 스포x)",2021.08.08.,또 재밌는 다른 드라마가 있다면 추천해주세요!!! #넷플릭스 #넷플릭스추천 #넷플릭스드라마 #넷플릭스드라마추천 #넷플릭스한국드라마 #한국드라마추천 #한국드라마 #넷플릭스드라마한국 #드라마추천 #제3의매력 #18어게인...
6,넷플릭스 드라마/영화 추천 #2,4일 전,"이것도 몇년 전이라 최근에 본 넷플릭스 추천 작품으로 업데이트해서 추천하려구요!! 넷플릭스 드라마 1. 길모어걸즈 시즌이 무려 7까지 있는데요, 많다고 겁낼필요 없어요! 그냥 일상 시트콤(?) 같이 편하게 볼 수 있는..."
7,넷플릭스 한국드라마 추천 10개 미스터션샤인 외,2021.05.11.,고로 넷플릭스 드라마추천하고 싶다. 부산에서 갓 상경한 모 청년이 어떤 고시원에 살면서 겪게되는 이웃 옆방 사람들과의 기묘한 이야기를 그려낸 작품. 특히 고시원 주인 이정은씨는 정말이지 원작 찢고 나온...
8,더위식히는 넷플릭스미드 킹덤아신전 기묘한이야기 굿닥터& 웨이브미드추천 웨스트월드 달콤한인생,2021.07.29.,넷플릭스 추천한드 시리즈 https://cuba.tistory.com/168 넷플릭스 미드 아닌 다른곳 추천 미드 https://cuba.tistory.com/165 넷플릭스 추천미드 베스트10 https://cuba.tistory.com/158 멈출수없는 재미 넷플릭스 베스트 6 https://cuba.tistory.com/161
9,넷플릭스 추천 ~~ !,3일 전,"짠님들은 넷플릭스 보시나용 넷플릭스 무슨 프로그램을 제일 좋아하시나요? 전 슬기로운 의사생활(볼때마다 마음이 따뜻해지는 느낌이에요.), 너는 나의 봄, 비밀의 숲, 미생, 나의 아저씨 드라마들 추천합니다! 짠님들..."
10,넷플릭스 드라마 추천! 정주행하기 좋은 추천드라마,2021.01.06.,"겨우, 서른 (삼십이이 三十而已) 사실 나의 넷플릭스 추천드라마 리스트에 중드가 등장할 줄은 몰랐다. 제대로 본 적은 없지만 어쩐지 내 취향이 아니라고 생각했기 때문. 우연히 넷플릭스 메인에 추천으로 뜨는 중드..."
11,내 기준에 의한 넷플릭스 추천 작품 2,2020.12.21.,요즘 방구석 넷플 시청률 오른거 다알아~ 왜냐면 내가 그러니까...ㅎㅎ 그래서 각설이마냥 다시 돌아옴 내 기준에 의한 넷플릭스 추천 작품 2 외국꺼부터하고 그다음에 한국꺼 추천하겠음 1. 퀸스갬빗 이미 핫해질대로 핫한...
12,"넷플릭스 중국드라마 추천, 묘한 매력을 느껴봐!",2021.08.18.,주말 재미있게 보내시길 바라요~^^ 이 글은 본사로부터 소정의 제작료를 지원받았습니다. #넷플릭스 #넷플릭스중국드라마 #중드 #중국드라마추천 #드라마추천 #넷플릭스추천 #겨우서른 #치아문단순적소미호 #미미일소흔경성
13,[넷플릭스/추천] 집콕연말을 달래줄 달달한 로맨스 드라마 시리즈 -,2020.12.22.,"Pixabay 넷플릭스를 뒤저 골라놓은, 크리스마스 + 연말 연후에 몰아볼 로맨스 시리즈! 1. 이번생은 처음이라... 보라고 추천했던 드라마. 주인공 커플 외에도, 주변 서브 커플의 스토리도 공감되어 2030 청춘의 고민들을 잘..."
14,"2020 결산,넷플릭스 미드 추천 10편 골라보니",2021.01.24.,"지극히 개취로 골라보니 2020 결산은 현실, 미래, 판타지로 어느 해보다 답답했던 시기를 벗어나려 했던 거 같아요. 2021년에도 더 많은 미드 추천으로 다시 보며 공유해봐요. #미드추천 #넷플릭스 #2020미드결산"
15,"넷플릭스 추천 드라마, 킹덤 아신전, 드라마 남자친구, 검블유 , 안보면 후회하는 7월 예정작",2021.07.10.,"보느라 넷플릭스를 멀리 했었는데요. 오늘은 오래만에 #넷플릭스추천드라마 소개해드릴께요. 얼마전에... 다시 코로나 단계가 격상되고, 마음대로 여행도 못가는 요즘 #정주행드라마 를 찾고 있으시다면 위에 3개 꼭 추천드..."
16,"넷플릭스 추천>마르첼라--영드 여성형사물,연쇄살인",2021.08.23.,"몰입해서 볼만한 고구마 별로 없는 드라마라 추천 드려요. 영화나 넷플릭스 많이 보신 분들은 직접 연출가 되잖아요. ""아 왜 저기서 저렇게 빠지는거야."" ""빈틈이 보이잖아!"" ""아까 해결 안된 그 이야기는 어디로 간거야?..."
17,넷플릭스 드라마 추천 정주행 해보실래요?,2021.01.11.,"오늘 추천하는 #넷플릭스드라마추천 중 가장 최신 작품이 아닐까 싶은데- 이 드라마는 릴리 콜린스의 미모와 패션 센스를 살펴보는 재미가 쏠쏠하다. 스타일링 하나하나가 깜찍하고, 매력적이라고 해야 할까? 안 그래도..."
18,취저 범죄 스릴러 - 인생 넷플릭스 드라마 추천 한국 드라마 편,2021.02.07.,"넷플릭스 한국드라마 추천 1. 비밀의 숲 (2017) & 비밀의 숲2 (2020) tvn / 조승우, 배두나, 이준혁, 유재명 등.. 감정을 느끼지 못하는 외톨이검사 황시목이 정의롭고 따뜻한 형사 한여진과 함께 검찰 스폰서 살인사건과 그..."
19,주관적인 넷플릭스 드라마 추천 14 (한국기준),2020.11.13.,넷플릭스는 국가마다 시청 가능한 컨텐츠가 달라서 한국에 있는 김에 한국 넷플릭스에 있는거 위주. 빨간... 나처럼 주부인 언니한테 추천했더니 초고속 정주행했다. 초반엔 정말 몰입해서 봤는데 시즌 3은 약간...
20,넷플릭스 추천해주세요,2021.08.21.,다들 넷플릭스에서 재밌게 보신 영화나.드라마 추천해주세요~~주말에 몰아보기했었는데 요즘 통 안봐서 뭐가 재밌는지 모르겠네요ㅠ 슬의생은 보고있어요 요건 제외요ㅋㅋ 국적 장르 상관없이 잘 봐요 근데 귀신얘기...
21,넷플릭스 한국드라마 추천 안보면 후회할 꿀잼작!,2021.05.28.,"웬만한 작품은 다 본 것 같은데, 오늘은 그중에서도 넷플릭스 한국드라마 추천을 해보려고 합니다! 요즘 넷플릭스에서 한국의 영향력이 장난이 아니잖아요? 앞으로 더 많은 작품들이 나올 예정이니 얼른 기존 작품들을..."
22,넷플릭스 추천해주세요!,2021.08.14.,집에서 뒹굴뒹굴 맨날 봤던 예능 또보고 또보고 지루해요! ㅋㅋ 드라마나 정주행 해볼까 하는데 넷플릭스로 볼만한 드라마 뭐가있을까요? ^^ 마구마구 추천해주세요!! 장르 아무거나 다 좋아해요>.< 미리 감사합니다!!
23,"넷플릭스드라마추천, 일드,영드,프랑스드라마 추천",2021.07.12.,"어쨌든 이렇게 새롬씨's가 추천하는 넷플릭스! 넷플릭스 선택하시는데 도움이되었으면 좋겠습니다. 이런 비오는날 넷플릭스 한편 보면서 주말을 혹은 평일 밤을 보내는것도 힐링 타임이 되겠죠:) 오늘도 굿데이, 굿모닝..."
24,넷플릭스 드라마 추천 & 간단리뷰 1편,2020.12.22.,넷플릭스 드라마 추천 & 간단리뷰 1편 요즘 코로나때문에 집에 있는시간이 더 많아져서 넷플릭스는 필수... 넷플릭스 추천 1편은 일단 여기까지~~ 다 넘넘 유명하고 재밌는 작품들이니 혹시 안본게 있다면 정주행...
25,초등 넷플릭스 추천,2021.08.14.,얼마전 초등 넷플릭스 추천 글보고 저도 살포시 추천해 보아요. 아이들이 좋아하는 프로그램들이예요. 미국서 2년 살다와 영어 까먹지 않게 보고 있어요. 한번 꽂히면 같은 프로만 수십번씩 봐서 전 괴롭지만요.. 그래도...
26,넷플릭스 미드 추천 리스트 best 6,2021.01.13.,그래서 오늘은 여러분들을 위해 저만의 띵작 위주로 넷플릭스 미드 best 6 추천을 해보겠습니다 Let's get started! 1. 퀸즈갬빗 (The Queen's Gambit) 2020년 10월 23일날 시즌 1으로 개봉한 넷플릭스 드라마 퀸즈갬빗 :) 원작은...
27,넷플릭스 한국 드라마 추천 15가지 - 별 5개 만점 드라마!,2021.07.21.,훌륭했던 넷플릭스 드라마 추천이였습니다. 보고 있으면 마음이 따뜻해지고 눈물이 왈칵 쏟아지는 그만큼 여운이 많이 남는 명작. 노희경 작가님의 작품이고 기승전결이 완벽합니다. 드라마 종영 이후에 동명 소설로도...
28,초등학생 넷플릭스 추천해주세요^^,2021.08.17.,요즘 넷플릭스로 저는 매일 드라마 보는데... 물론 전 한국드라마 봅니다. 한국드러마가 참 재밌어요.... 왠만하 그냥 재미뿐만이 아니라 교육적으로 도움 되는거 추천해 주세요.^^ 미리 감사드립니다!!
29,넷플릭스 영화나 드라마 추천 부탁드려요!,2021.08.16.,지방에 꽤 오래 장기투숙을 할 것 같은데 넷플릭스가 있네요?ㅋㅋ 심심할일은 없겠다싶은데 그럼 영화나 드라마 추천 부탁드립니다! 메즈 미켈슨 나오는 폴라 봤는데 재밌네요 ㅎㅎ 종이의 집? 그거 재미있나용? 장르는...
30,넷플릭스 한국 드라마 추천ღ'ᴗ'ღ (인간수업 외 9편),2021.08.02.,#넷플릭스추천 #넷플릭스한국드라마 #넷플릭스드라마 #넷플릭스드라마추천 #인간수업 #타인은지옥이다 #스위트홈 #킹덤 #보건교사안은영 #비밀의숲 #나의아저씨 #알고있지만 #경이로운소문 #페르소나 #좋아하면울리는 1....
31,휘게라이프 :) 넷플릭스 드라마 추천리스트 2탄,2021.08.01.,"넷플릭스 드라마 추천리스트 <2탄> 지난번에 빠뜨린것들과, 요즘 재밌게 보고있는 드라마들 추가추가! #1. 품위있는그녀 - 총 20화 / 각 60분 내외 <완결> 생각해보니 아니 지난번에 이걸 빼먹었더라규! 최애 드라마중 하나인..."
